steamid,name,directory
2398904634,AAF Winter Faction [by MALLINGA],@AAF_Winter_Faction
623475643,3den Enhanced,@3den_Enhanced
463939057,ace,@ace
773131200,ACE Compat - RHS Armed Forces of the Russian Federation,@ACE_Compat-RHSAFRF
773125288,ACE Compat - RHS United States Armed Forces,@ACE_Compat-RHSUSAF
884966711,ACE Compat - RHS: GREF,@ACE_Compat-RHSGREF
2174495332,ACE Compat - RHS: SAF,@ACE_Compat-RHSSAF
1200145989,ACE3 - BWMod Compatibility,@ACE3-BWMod_Compatibility
751965892,ACRE2,@ACRE2
2303560068,AMB Mission Maker Media Mod,@AMB_Mission_Maker_Media_Mod
2324367550,AMB Mission Maker Module,@AMB_Mission_Maker_Module
723217262,Achilles,@Achilles
713709341,Advanced Rappelling,@Advanced_Rappelling
615007497,Advanced Sling Loading,@Advanced_Sling_Loading
639837898,Advanced Towing,@Advanced_Towing
730310357,Advanced Urban Rappelling,@Advanced_Urban_Rappelling
903134884,Align,@Align
1200127537,BWMod,@BWMod
820924072,BackpackOnChest,@BackpackOnChest
2260572637,BettIR (Legacy v0.2.1),@BettIR_Legacy
1314910827,Breaching Charge,@Breaching_Charge
450814997,CBA_A3,@CBA_A3
837729515,CH View Distance,@CH_View_Distance
2308324019,Christmas Pack,@Christmas_Pack
1375890861,CUP ACE3 Compatibility Addon - Terrains,@CUP_ACE3_Compatibility_Addon-Terrains
583496184,CUP Terrains - Core,@CUP_Terrains-Core
1638341685,DUI - Squad Radar,@DUI-Squad_Radar
1379304937,dzn Extended Jamming,@dzn_Extended_Jamming
686802825,Eden Objects,@Eden_Objects
333310405,Enhanced Movement,@Enhanced_Movement
1109237932,Extended Fortifications Mod,@Extended_Fortifications_Mod
2231150238,Freestyles Crash Landing,@Freestyles_Crash_Landing
2010224487,GGE: Captive Animations,@GGE_Captive_Animations
2010222986,GGE: Core,@GGE_Core
2010225817,GGE: NVG Animation,@GGE_NVG_Animation
2010226699,GGE: Weapon Canting,@GGE_Weapon_Canting
2352603233,GreenMag,@GreenMag
2352615767,GreenMag - RHS USAF COMPAT,@GreenMag-RHS_USAF_COMPAT
825172265,Immerse,@Immerse
413463022,Improved Grenades,@Improved_Grenades
2171228036,Kyklop's Electronic warfare,@Kyklops_Electronic_warfare
2184089419,Kyklop's Electronic warfare ACRE compatibility,@Kyklops_Electronic_warfare_ACRE_compatibility
1858075458,LAMBS_Danger.fsm,@LAMBS_Danger
1858070328,LAMBS_RPG,@LAMBS_RPG
1808238502,LAMBS_Suppression,@LAMBS_Suppression
1862208264,LAMBS_Turrets,@LAMBS_Turrets
1508091616,Metis Marker,@Metis_Marker
1425442364,Napf Island A3,@Napf_Island_A3
1969191445,Napf Winter - Snowfall,@Napf_Winter-Snowfall
2315104187,NATO Winter Faction [by MALLINGA],@NATO_Winter_Faction
1770265310,No More Aircraft Bouncing,@No_More_Aircraft_Bouncing
1637178799,PMC Vehicles Mod,@PMC_Vehicles_Mod
2060904217,RHRM [REAL HERO's RAGDOLL MOD],@RHRM
843425103,RHSAFRF,@RHSAFRF
843593391,RHSGREF,@RHSGREF
843632231,RHSSAF,@RHSSAF
843577117,RHSUSAF,@RHSUSAF
1661066023,RKSL Studios - Attachments v3.02,@RKSL_Studios-Attachments
2127693591,Real Engine,@Real_Engine
567871211,Santa Claus,@Santa_Claus
708931058,SSD Death Screams 2.1,@SSD_Death_Screams
825174634,Suppress,@Suppress
2430905589,TacControl,@TacControl
510031102,Werthles' Headless Module,@Werthles_Headless_Module
642912021,ZEC - Zeus and Eden Templates / Building Compositions,@ZEC
1251859358,ZEI - Zeus and Eden Interiors,@ZEI
1779063631,Zeus Enhanced,@Zeus_Enhanced
2018593688,Zeus Enhanced - ACE3 Compatibility,@Zeus_Enhanced-ACE3_Compatibility
