steamid,name,directory
1673456286,3CB Factions,@3CB_Factions
773131200,ACE Compat - RHS Armed Forces of the Russian Federation,@ACE_Compat-RHSAFRF
773125288,ACE Compat - RHS United States Armed Forces,@ACE_Compat-RHSUSAF
884966711,ACE Compat - RHS: GREF,@ACE_Compat-RHSGREF
2174495332,ACE Compat - RHS: SAF,@ACE_Compat-RHSSAF
708250744,ACEX,@ACEX
615007497,Advanced Sling Loading,@Advanced_Sling_Loading
639837898,Advanced Towing,@Advanced_Towing
820924072,BackpackOnChest,@BackpackOnChest
450814997,CBA_A3,@CBA_A3
1375890861,CUP ACE3 Compatibility Addon - Terrains,@CUP_ACE3_Compatibility_Addon-Terrains
583496184,CUP Terrains - Core,@CUP_Terrains-Core
583544987,CUP Terrains - Maps,@CUP_Terrains-Maps
1638341685,DUI - Squad Radar,@DUI-Squad_Radar
2622792308,Deutsche Arma Allianz - Kernmod,@Deutsche_Arma_Allianz-Kernmod
333310405,Enhanced Movement,@Enhanced_Movement
2034363662,Enhanced Movement Rework,@Enhanced_Movement_Rework
1354112941,GRAD Sling Helmet,@GRAD_Sling_Helmet
2584716811,Gruppe Adler Admin Messages,@Gruppe_Adler_Admin_Messages
2134489854,Gruppe Adler Captive Walking,@Gruppe_Adler_Captive_Walking
1224892496,Gruppe Adler Trenches,@Gruppe_Adler_Trenches
1875281645,ILBE Assault Pack - Rewrite,@ILBE_Assault_Pack-Rewrite
1770265310,No More Aircraft Bouncing,@No_More_Aircraft_Bouncing
843425103,RHSAFRF,@RHSAFRF
843593391,RHSGREF,@RHSGREF
843632231,RHSSAF,@RHSSAF
843577117,RHSUSAF,@RHSUSAF
770418577,Splendid Smoke,@Splendid_Smoke
2430905589,TacControl,@TacControl
894678801,Task Force Arrowhead Radio (BETA!!!),@Task_Force_Arrowhead_Radio_BETA
1703187116,VET_Unflipping,@VET_Unflipping
1779063631,Zeus Enhanced,@Zeus_Enhanced
2018593688,Zeus Enhanced - ACE3 Compatibility,@Zeus_Enhanced-ACE3_Compatibility
463939057,ace,@ace
