steamid,name,directory
751965892,ACRE2,@ACRE2
713709341,Advanced Rappelling,@Advanced_Rappelling
2303560068,AMB Mission Maker Media Mod,@AMB_Mission_Maker_Media_Mod
2324367550,AMB Mission Maker Module,@AMB_Mission_Maker_Module
2111525684,BWI - Pindad SS2 Series,@BWI-Pindad_SS2_Series
450814997,CBA_A3,@CBA_A3
333310405,Enhanced Movement,@Enhanced_Movement
2207252113,Indonesia Armed Forces,@Indonesia_Armed_Forces
1858075458,LAMBS_Danger.fsm,@LAMBS_Danger
1858070328,LAMBS_RPG,@LAMBS_RPG
1808238502,LAMBS_Suppression,@LAMBS_Suppression
1862208264,LAMBS_Turrets,@LAMBS_Turrets
1451755886,Max_Women,@Max_Women
501552467,NATO_Rus_Vehicle,@NATO_Rus_Vehicle
1312457117,Pook ARTY Pack,@Pook_ARTY_Pack
2696778402,Project PMC,@Project_PMC
612930542,RDS Civilian Pack,@RDS_Civilian_Pack
1252091296,Tembelan Island,@Tembelan_Island
2575841565,Tiger,@Tiger
642912021,ZEC - Zeus and Eden Templates / Building Compositions,@ZEC
1779063631,Zeus Enhanced,@Zeus_Enhanced
2018593688,Zeus Enhanced - ACE3 Compatibility,@Zeus_Enhanced-ACE3_Compatibility
463939057,ace,@ace
